key,class_id,weapon_id,level,scenario,scenario_label,playable,attack_mode,archetype,axis,final_mechanic,playstyle,strengths,weaknesses,stat_delta,solo_dpm,crowd_10_total_dpm,crowd_10_per_target_dpm,hp,defense,dodge,absorb_flat,conditional_shield_capacity,regeneration_per_second,lifesteal_per_second,mitigation,ehp,ttd_seconds,conditional_defense_factor,pickup_radius,move_speed,healing_multiplier,xp_multiplier,money_multiplier,start_gold,ult_start_charge,death_save,solo_delta_abs,solo_delta_pct,crowd_delta_abs,crowd_delta_pct,ehp_delta_abs,ehp_delta_pct,ttd_delta_abs,ttd_delta_pct,atlas_delta,measurement_method,runs,solo_variance_dpm2,crowd_variance_dpm2
"berserk|sword|1|no_meta","berserk","sword","1.0","no_meta","No meta control","true","sweep","melee","solo","sword_repeat_execute","long narrow committed sweep and durable-target execute","durable-target pressure; long narrow committed sweep and durable-target execute","Lower role budget for dense packs; kill-gated value is absent on immortal dummies.","{}","2746.2","8084.4","808.44","76.4","0.1687","0.0648","1.01","0.0","0.09","0.0","0.3019","109.45","3.54","1.0","140.0","313.0","0.68","0.8","0.8","0.0","0.0","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","n/a","deterministic_formula_expected_value","1.0","0.0","0.0"
"berserk|axe|1|no_meta","berserk","axe","1.0","no_meta","No meta control","true","sweep","melee","crowd","axe_outer_followthrough","broad close cleave and follow-through","compact-pack throughput; broad close cleave and follow-through","Compact-pack strength does not imply equal boss pressure.","{}","2741.4","8079.6","807.96","76.4","0.1687","0.0648","1.01","0.0","0.09","0.0","0.3019","109.45","3.54","1.0","140.0","313.0","0.68","0.8","0.8","0.0","0.0","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","n/a","deterministic_formula_expected_value","1.0","0.0","0.0"
"berserk|hammer|1|no_meta","berserk","hammer","1.0","no_meta","No meta control","true","circle","melee","defense","hammer_stagger_aftershock","close danger-zone slam, stagger and delayed ground crack","control/defensive utility; close danger-zone slam, stagger and delayed ground crack","Conditional control/guard value is not converted into permanent shield HP.","{}","2755.2","8104.8","810.48","76.4","0.1687","0.0648","1.01","0.0","0.09","0.0","0.3019","109.45","3.54","1.0","140.0","313.0","0.68","0.8","0.8","0.0","0.0","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","n/a","deterministic_formula_expected_value","1.0","0.0","0.0"
"berserk|sword|1|class_constellation","berserk","sword","1.0","class_constellation","Full class constellation (schema 6)","true","sweep","melee","solo","sword_repeat_execute","long narrow committed sweep and durable-target execute","durable-target pressure; long narrow committed sweep and durable-target execute","Lower role budget for dense packs; kill-gated value is absent on immortal dummies.","{}","9194.88","21658.33","2165.83","76.4","0.1687","0.0648","1.01","0.0","0.09","0.0","0.3019","109.45","3.54","1.0","140.0","313.0","0.68","0.8","0.8","0.0","0.0","false","6448.68","234.82","13573.93","167.9","0.0","0.0","0.0","0.0","n/a","deterministic_formula_expected_value","1.0","0.0","0.0"
"berserk|axe|1|class_constellation","berserk","axe","1.0","class_constellation","Full class constellation (schema 6)","true","sweep","melee","crowd","axe_outer_followthrough","broad close cleave and follow-through","compact-pack throughput; broad close cleave and follow-through","Compact-pack strength does not imply equal boss pressure.","{}","5587.32","23898.65","2389.87","76.4","0.1687","0.0648","1.01","0.0","0.09","0.0","0.3019","109.45","3.54","1.0","140.0","313.0","0.68","0.8","0.8","0.0","0.0","false","2845.92","103.81","15819.05","195.79","0.0","0.0","0.0","0.0","n/a","deterministic_formula_expected_value","1.0","0.0","0.0"
"berserk|hammer|1|class_constellation","berserk","hammer","1.0","class_constellation","Full class constellation (schema 6)","true","circle","melee","defense","hammer_stagger_aftershock","close danger-zone slam, stagger and delayed ground crack","control/defensive utility; close danger-zone slam, stagger and delayed ground crack","Conditional control/guard value is not converted into permanent shield HP.","{}","5055.82","16657.73","1665.77","76.4","0.1687","0.0648","1.01","0.0","0.09","0.0","0.3019","109.45","3.54","1.2","140.0","313.0","0.68","0.8","0.8","0.0","0.0","false","2300.62","83.5","8552.93","105.53","0.0","0.0","0.0","0.0","n/a","deterministic_formula_expected_value","1.0","0.0","0.0"
"berserk|sword|1|class_atlas50","berserk","sword","1.0","class_atlas50","Full class + legal Guild Atlas 50","true","sweep","melee","solo","sword_repeat_execute","long narrow committed sweep and durable-target execute","durable-target pressure; long narrow committed sweep and durable-target execute","Lower role budget for dense packs; kill-gated value is absent on immortal dummies.","{}","9194.88","21658.33","2165.83","76.4","0.1687","0.0648","1.01","0.0","0.12","0.0","0.3019","109.45","6.6","1.0","200.0","313.0","0.979","1.058","1.352","50.0","1.0","true","6448.68","234.82","13573.93","167.9","0.0","0.0","3.06","86.44","pickup_radius +60.00; ttd_seconds +3.06; healing_multiplier +0.30; start_gold +50.00; ult_start_charge +1.00; death_save +1","deterministic_formula_expected_value","1.0","0.0","0.0"
"berserk|axe|1|class_atlas50","berserk","axe","1.0","class_atlas50","Full class + legal Guild Atlas 50","true","sweep","melee","crowd","axe_outer_followthrough","broad close cleave and follow-through","compact-pack throughput; broad close cleave and follow-through","Compact-pack strength does not imply equal boss pressure.","{}","5587.32","23898.65","2389.87","76.4","0.1687","0.0648","1.01","0.0","0.12","0.0","0.3019","109.45","6.6","1.0","200.0","313.0","0.979","1.058","1.352","50.0","1.0","true","2845.92","103.81","15819.05","195.79","0.0","0.0","3.06","86.44","pickup_radius +60.00; ttd_seconds +3.06; healing_multiplier +0.30; start_gold +50.00; ult_start_charge +1.00; death_save +1","deterministic_formula_expected_value","1.0","0.0","0.0"
"berserk|hammer|1|class_atlas50","berserk","hammer","1.0","class_atlas50","Full class + legal Guild Atlas 50","true","circle","melee","defense","hammer_stagger_aftershock","close danger-zone slam, stagger and delayed ground crack","control/defensive utility; close danger-zone slam, stagger and delayed ground crack","Conditional control/guard value is not converted into permanent shield HP.","{}","5055.82","16657.73","1665.77","76.4","0.1687","0.0648","1.01","0.0","0.12","0.0","0.3019","109.45","6.6","1.2","200.0","313.0","0.979","1.058","1.352","50.0","1.0","true","2300.62","83.5","8552.93","105.53","0.0","0.0","3.06","86.44","pickup_radius +60.00; ttd_seconds +3.06; healing_multiplier +0.30; start_gold +50.00; ult_start_charge +1.00; death_save +1","deterministic_formula_expected_value","1.0","0.0","0.0"
"berserk|sword|1|class_atlas59_upper","berserk","sword","1.0","class_atlas59_upper","NON-PLAYABLE: cap 50","false","sweep","melee","solo","sword_repeat_execute","long narrow committed sweep and durable-target execute","durable-target pressure; long narrow committed sweep and durable-target execute","Lower role budget for dense packs; kill-gated value is absent on immortal dummies.","{}","9194.88","21658.33","2165.83","76.4","0.1687","0.0648","1.01","0.0","0.12","0.0","0.3019","109.45","6.6","1.0","200.0","313.0","0.979","1.058","1.352","150.0","1.0","true","6448.68","234.82","13573.93","167.9","0.0","0.0","3.06","86.44","pickup_radius +60.00; ttd_seconds +3.06; healing_multiplier +0.30; start_gold +150.00; ult_start_charge +1.00; death_save +1","deterministic_formula_expected_value","1.0","0.0","0.0"
